name,modifier,head,freq_class
rich man,rich,man,13.0
press conference,press,conference,13.0
one-step,one,step,13.0
fill-in,fill,in,13.0
blackjack,black,jack,13.0
wedding day,wedding,day,13.0
housekeeper,house,keeper,13.0
liquor store,liquor,store,13.0
one shot,one,shot,13.0
law firm,law,firm,13.0
wedding ring,wedding,ring,13.0
spaceship,spaces,hip,13.0
dickhead,dick,head,13.0
tough guy,tough,guy,13.0
show business,show,business,13.0
young girl,young,girl,13.0
serial killer,serial,killer,13.0
medical school,medical,school,13.0
butterfly,butter,fly,13.0
football team,football,team,13.0
free will,free,will,13.0
housewife,house,wife,13.0
coffee shop,coffee,shop,13.0
making love,making,love,13.0
playground,play,ground,13.0
insurance policy,insurance,policy,13.0
coastguard,coast,guard,13.0
bodyguard,body,guard,13.0
real life,real,life,13.0
overhead,over,head,13.0
shithead,shit,head,13.0
warhead,war,head,13.0
redhead,red,head,13.0
old woman,old,woman,13.0
handkerchief,hand,kerchief,13.0
security guard,security,guard,13.0
bathing suit,bathing,suit,13.0
doorstep,door,step,13.0
junior high,junior,high,13.0
graveyard,grave,yard,13.0
windshield,wind,shield,13.0
standstill,stand,still,13.0
hip-hop,hip,hop,13.0
peanut butter,peanut,butter,13.0
bedtime,bed,time,13.0
bookstore,book,store,13.0
drugstore,drug,store,13.0
lifestyle,life,style,13.0
lawsuit,law,suit,13.0
backseat,back,seat,13.0
five hundred,five,hundred,13.0
human race,human,race,13.0
spaceship,space,ship,13.0
superstar,super,star,13.0
backstage,back,stage,13.0
countryside,country,side,13.0
twenty-four,twenty,four,13.0
death penalty,death,penalty,13.0
toilet paper,toilet,paper,13.0
website,web,site,13.0
babysitter,baby,sitter,13.0
gas station,gas,station,13.0
longshot,long,shot,13.0
typewriter,type,writer,13.0
hotshot,hot,shot,13.0
law enforcement,law,enforcement,13.0
handwriting,hand,writing,13.0
overtime,over,time,13.0
lying-in,lying,in,13.0
old age,old,age,13.0
last minute,last,minute,13.0
videotape,video,tape,13.0
city hall,city,hall,13.0
breakthrough,break,through,13.0
insurance company,insurance,company,13.0
little sister,little,sister,13.0
schoolteacher,school,teacher,13.0
superstar,supers,tar,13.0
landlady,land,lady,14.0
textbook,text,book,14.0
food poisoning,food,poisoning,14.0
boardinghouse,boarding,house,14.0
private school,private,school,14.0
tape recorder,tape,recorder,14.0
police car,police,car,14.0
criminal record,criminal,record,14.0
root beer,root,beer,14.0
bus driver,bus,driver,14.0
parking space,parking,space,14.0
lightbulb,light,bulb,14.0
rock star,rock,star,14.0
lighthouse,light,house,14.0
comic book,comic,book,14.0
offspring,off,spring,14.0
freelance,free,lance,14.0
airspace,air,space,14.0
steering wheel,steering,wheel,14.0
convenience store,convenience,store,14.0
rattlesnake,rattle,snake,14.0
doorknob,door,knob,14.0
olive oil,olive,oil,14.0
duct tape,duct,tape,14.0
sidekick,side,kick,14.0
blowjob,blow,job,14.0
black eye,black,eye,14.0
housekeeping,house,keeping,14.0
grocery store,grocery,store,14.0
trust fund,trust,fund,14.0
call-out,call,out,14.0
lady friend,lady,friend,14.0
blacksmith,black,smith,14.0
air conditioning,air,conditioning,14.0
raspberry,rasp,berry,14.0
security system,security,system,14.0
engagement ring,engagement,ring,14.0
meat loaf,meat,loaf,14.0
wedding dress,wedding,dress,14.0
family man,family,man,14.0
dog food,dog,food,14.0
task force,task,force,14.0
bus station,bus,station,14.0
double-crossing,double,crossing,14.0
good sense,good,sense,14.0
wormhole,worm,hole,14.0
free time,free,time,14.0
dry cleaning,dry,cleaning,14.0
understatement,under,statement,14.0
blind date,blind,date,14.0
backstay,back,stay,14.0
silverware,silver,ware,14.0
coffee table,coffee,table,14.0
workshop,works,hop,14.0
community service,community,service,14.0
greenhouse,green,house,14.0
clubhouse,club,house,14.0
swimming pool,swimming,pool,14.0
whorehouse,whore,house,14.0
sailboat,sail,boat,14.0
snowboarding,snow,boarding,14.0
pulling out,pulling,out,14.0
sergeant major,sergeant,major,14.0
bus stop,bus,stop,14.0
good faith,good,faith,14.0
pantyhose,panty,hose,14.0
hardware store,hardware,store,14.0
game plan,game,plan,14.0
barbershop,barbers,hop,14.0
hiding place,hiding,place,14.0
plastic surgeon,plastic,surgeon,14.0
jigsaw,jig,saw,14.0
in-law,in,law,14.0
mainland,main,land,14.0
voicemail,voice,mail,14.0
finish line,finish,line,14.0
homeboy,home,boy,14.0
city council,city,council,14.0
shoe store,shoe,store,14.0
bridesmaid,brides,maid,14.0
personal effects,personal,effects,14.0
bedside,bed,side,14.0
overlook,over,look,14.0
wedding present,wedding,present,14.0
livelong,live,long,14.0
bad person,bad,person,14.0
black hole,black,hole,14.0
love affair,love,affair,14.0
motion picture,motion,picture,14.0
overload,over,load,14.0
filmmaker,film,maker,14.0
icebox,ice,box,14.0
