compound,modifier,head,frequency_class
Abfalltonne,Abfall,Tonne,18.0
Abfalltrennung,Abfall,Trennung,16.0
Abfalluntersuchung,Abfall,Untersuchung,19.0
Abfallverbrennung,Abfall,Verbrennung,
Abfallverbrennungsanlage,Abfallverbrennung,Anlage,
Abfallvermeidung,Abfall,Vermeidung,15.0
Abfallverwertung,Abfall,Verwertung,18.0
Abfallvolumen,Abfall,Volumen,19.0
Abfallwiederverwertung,Abfall,Wiederverwertung,
Abfallwirtschaft,Abfall,Wirtschaft,13.0
Abfallwirtschaftsbetrieb,Abfall,Wirtschaftsbetrieb,16.0
Abfallwirtschaftsgesellschaft,Abfallwirtschaft,Gesellschaft,19.0
Abfallwirtschaftsgesetz,Abfallwirtschaft,Gesetz,
Abfallwirtschaftsingenieur,Abfallwirtschaft,Ingenieur,
Abfallwirtschaftskonzept,Abfallwirtschaft,Konzept,
Abfangjäger,abfangen,Jäger,
Abfangrakete,abfangen,Rakete,
Abfertigungsgebäude,Abfertigung,Gebäude,19.0
Abfertigungshalle,Abfertigung,Halle,19.0
Abfertigungskapazität,Abfertigung,Kapazität,
Abfertigungsschalter,Abfertigung,Schalter,18.0
Abfindungsangebot,Abfindung,Angebot,
Abfindungsanspruch,Abfindung,Anspruch,
Abfindungsregelung,Abfindung,Regelung,
Abfindungssumme,Abfindung,Summe,
Abfindungszahlung,Abfindung,Zahlung,18.0
Abflugebene,Abflug,Ebene,18.0
Abfluggewicht,Abflug,Gewicht,
Abflughafen,Abflug,Hafen,
Abflughalle,Abflug,Halle,
Abflugort,Abflug,Ort,18.0
Abflugplan,Abflug,Plan,
Abflugroute,Abflug,Route,
Abflugtag,Abflug,Tag,19.0
Abflugtermin,Abflug,Termin,
Abflugzeit,Abflug,Zeit,19.0
Abflusskanal,Abfluss,Kanal,
Abflussmenge,Abfluss,Menge,
Abflussregime,Abfluss,Regime,
Abflussreiniger,Abfluss,Reiniger,19.0
Abflussrinne,Abfluss,Rinne,
Abflussrohr,Abfluss,Rohr,19.0
Abfragemaske,Abfrage,Maske,
Abfragemöglichkeit,Abfrage,Möglichkeit,18.0
Abfragesprache,Abfrage,Sprache,19.0
Abführmittel,abführen,Mittel,
Abfüllanlage,abfüllen,Anlage,
Abfüllbetrieb,abfüllen,Betrieb,19.0
Abfüllgerät,abfüllen,Gerät,
Abgabedruck,Abgabe,Druck,
Abgabefrist,Abgabe,Frist,14.0
Abgabemenge,Abgabe,Menge,
Abgabenbelastung,Abgabe,Belastung,
Abgabenerhebung,Abgabe,Erhebung,19.0
Abgabenerhöhung,Abgabe,Erhöhung,
Abgabenlast,Abgabe,Last,18.0
Abgabenordnung,Abgabe,Ordnung,13.0
Abgabenquote,Abgabe,Quote,
Abgabenrecht,Abgabe,Recht,
Abgabensystem,Abgabe,System,19.0
Abgabepflicht,Abgabe,Pflicht,18.0
Abgabepreis,Abgabe,Preis,
Abgabesaldo,Abgabe,Saldo,
Abgabesatz,Abgabe,Satz,19.0
Abgabeschluss,Abgabe,Schluss,18.0
Abgabesoll,Abgabe,Soll,
Abgabestelle,Abgabe,Stelle,19.0
Abgabetermin,Abgabe,Termin,15.0
Abgangsklasse,Abgang,Klasse,
Abgangszeugnis,Abgang,Zeugnis,15.0
Abgas,ab,Gas,17.0
Abgasanlage,Abgas,Anlage,18.0
Abgasausstoß,Abgas,Ausstoß,
Abgasbelastung,Abgas,Belastung,
Abgasbestimmung,Abgas,Bestimmung,
Abgasemission,Abgas,Emission,
Abgasgrenzwert,Abgas,Grenzwert,
Abgaskatalysator,Abgas,Katalysator,
Abgasmessung,Abgas,Messung,
Abgasnorm,Abgas,Norm,17.0
Abgasreinigung,Abgas,Reinigung,19.0
Abgasrohr,Abgas,Rohr,
Abgasrückführung,Abgas,Rückführung,
Abgassonderuntersuchung,Abgas,Sonderuntersuchung,
Abgasstrahl,Abgas,Strahl,
Abgassystem,Abgas,System,
Abgastemperatur,Abgas,Temperatur,
Abgastest,Abgas,Test,19.0
Abgasturbine,Abgas,Turbine,
Abgasturbolader,Abgas,Turbolader,19.0
Abgasuntersuchung,Abgas,Untersuchung,17.0
Abgasverlust,Abgas,Verlust,
Abgasvorschrift,Abgas,Vorschrift,
Abgaswert,Abgas,Wert,
Abgeltungssteuer,Abgeltung,Steuer,16.0
Abgeordnetenbank,Abgeordnete,Bank,
Abgeordnetenbestechung,Abgeordnete,Bestechung,
Abgeordnetenbezüge,Abgeordnete,Bezüge,
Abgeordnetenbüro,Abgeordnete,Büro,
Abgeordnetendiäten,Abgeordnete,Diäten,
Abgeordnetenentschädigung,Abgeordnete,Entschädigung,19.0
Abgeordnetengesetz,Abgeordnete,Gesetz,19.0
Abgeordnetenhaus,Abgeordnete,Haus,14.0
Abgeordnetenhauswahl,Abgeordnetenhaus,Wahl,16.0
Abgeordnetenkammer,Abgeordnete,Kammer,19.0
Abgeordnetenkollege,Abgeordnete,Kollege,
Abgeordnetenmandat,Abgeordnete,Mandat,
Abgeordnetensitz,Abgeordnete,Sitz,
Abgeordnetentätigkeit,Abgeordnete,Tätigkeit,19.0
Abgeordnetenversammlung,Abgeordnete,Versammlung,
Abgeordnetenzahl,Abgeordnete,Zahl,
Abgeordnetenzeit,Abgeordnete,Zeit,
Abgrenzungsfrage,Abgrenzung,Frage,
Abgrenzungskriterium,Abgrenzung,Kriterium,19.0
Abgrenzungsproblem,Abgrenzung,Problem,
Abgrenzungsschwierigkeit,Abgrenzung,Schwierigkeit,
Abgusssammlung,Abguss,Sammlung,
Abhilfemaßnahme,Abhilfe,Maßnahme,
Abhängigkeitsbeziehung,Abhängigkeit,Beziehung,
Abhängigkeitserkrankung,Abhängigkeit,Erkrankung,17.0
Abhängigkeitsverhältnis,Abhängigkeit,Verhältnis,16.0
Abhöraffäre,abhören,Affäre,
Abhöraktion,abhören,Aktion,
Abhöranlage,abhören,Anlage,
Abhörgerät,abhören,Gerät,
Abhörmaßnahme,abhören,Maßnahme,
Abhörpraktik,abhören,Praktik,
Abhörprotokoll,abhören,Protokoll,
Abhörraum,abhören,Raum,
Abhörsicherheit,abhören,Sicherheit,19.0
Abhörskandal,abhören,Skandal,
Abhörstation,abhören,Station,
Abhörtechnik,abhören,Technik,
Abifeier,Abi,Feier,
Abiturfach,Abitur,Fach,15.0
Abiturfeier,Abitur,Feier,15.0
Abiturjahrgang,Abitur,Jahrgang,14.0
Abiturklasse,Abitur,Klasse,
Abiturnote,Abitur,Note,15.0
Abiturprüfung,Abitur,Prüfung,12.0
Abiturzeugnis,Abitur,Zeugnis,14.0
Abklingbecken,abklingen,Becken,19.0
Abkühlphase,abkühlen,Phase,
Abkürzungspunkt,Abkürzung,Punkt,
Abkürzungsverzeichnis,Abkürzung,Verzeichnis,18.0
Abladeplatz,abladen,Platz,
Ablagefläche,Ablage,Fläche,16.0
Ablagemappe,Ablage,Mappe,
Ablagemöglichkeit,Ablage,Möglichkeit,17.0
Ablageplatz,Ablage,Platz,
Ablagestapel,Ablage,Stapel,
Ablassbrief,Ablass,Brief,
Ablasshandel,Ablass,Handel,17.0
Ablassprediger,Ablass,Prediger,19.0
Ablassrohr,ablassen,Rohr,
Ablassventil,ablassen,Ventil,
Ablaufberg,ablaufen,Berg,
Ablaufdatum,Ablauf,Datum,14.0
Ablaufleistung,Ablauf,Leistung,19.0
Ablaufloch,Ablauf,Loch,
Ablauforganisation,Ablauf,Organisation,17.0
Ablaufplan,Ablauf,Plan,15.0
Ablaufrinne,Ablauf,Rinne,
Ablehnungsantrag,Ablehnung,Antrag,
Ablehnungsbescheid,Ablehnung,Bescheid,16.0
Ablehnungsfront,Ablehnung,Front,
Ablehnungsgesuch,Ablehnung,Gesuch,17.0
Ablehnungsgrund,Ablehnung,Grund,16.0
Ablehnungsquote,Ablehnung,Quote,
Ablehnungsschreiben,Ablehnung,Schreiben,
Ableitungsfunktion,Ableitung,Funktion,18.0
Ableitungsregel,Ableitung,Regel,18.0
Ablenkspule,ablenken,Spule,
Ablenkungsmanöver,Ablenkung,Manöver,17.0
Ablenkungsversuch,Ablenkung,Versuch,
Abluft,ab,Luft,15.0
Abluftanlage,Abluft,Anlage,19.0
Abluftfilter,Abluft,Filter,
Abluftrohr,Abluft,Rohr,
Ablösebetrag,Ablöse,Betrag,18.0
Ablöseforderung,Ablöse,Forderung,
Ablösemodalität,Ablöse,Modalität,
Ablösesumme,Ablöse,Summe,17.0
Ablösezahlung,Ablöse,Zahlung,
Ablösungsprozess,Ablösung,Prozess,
Abmagerungskur,Abmagerung,Kur,
Abmahnanwalt,abmahnen,Anwalt,19.0
Abmahnverein,abmahnen,Verein,
Abmahnwelle,abmahnen,Welle,17.0
Abnahmefahrt,Abnahme,Fahrt,
Abnahmeingenieur,Abnahme,Ingenieur,
Abnahmemenge,Abnahme,Menge,
Abnahmepreis,Abnahme,Preis,
Abnahmeprotokoll,Abnahme,Protokoll,19.0
Abnahmetermin,Abnahme,Termin,
Abnahmeverpflichtung,Abnahme,Verpflichtung,
Abnahmevertrag,Abnahme,Vertrag,
Abnehmerkreis,Abnehmer,Kreis,
Abnehmerland,Abnehmer,Land,
Abnutzungserscheinung,Abnutzung,Erscheinung,
Abnutzungskrieg,Abnutzung,Krieg,19.0
Abnutzungsspur,Abnutzung,Spur,
Abofalle,Abo,Falle,17.0
Abokarte,Abo,Karte,
Abonnementkarte,Abonnement,Karte,
Abonnementkonzert,Abonnement,Konzert,
Abonnementspreis,Abonnement,Preis,
Abonnentenhotline,Abonnent,Hotline,
Abonnentenserviceline,Abonnent,Serviceline,
Abonnentenzahl,Abonnent,Zahl,
Abopreis,Abo,Preis,17.0
Abraum,ab,Raum,19.0
Abraumhalde,Abraum,Halde,
Abrechnungsbetrug,Abrechnung,Betrug,17.0
Abrechnungsjahr,Abrechnung,Jahr,19.0
Abrechnungsmodalität,Abrechnung,Modalität,
Abrechnungsmodell,Abrechnung,Modell,
Abrechnungsmodus,Abrechnung,Modus,
Abrechnungsperiode,Abrechnung,Periode,16.0
Abrechnungspraxis,Abrechnung,Praxis,19.0
Abrechnungsstelle,Abrechnung,Stelle,18.0
Abrechnungssystem,Abrechnung,System,16.0
Abrechnungsunterlagen,Abrechnung,Unterlagen,17.0
Abrechnungsverfahren,Abrechnung,Verfahren,15.0
Abrechnungswesen,Abrechnung,Wesen,
Abrechnungszeitraum,Abrechnung,Zeitraum,14.0
Abrechnungszweck,Abrechnung,Zweck,
Abreisedatum,Abreise,Datum,19.0
Abreisetag,Abreise,Tag,16.0
Abreisetermin,Abreise,Termin,
Abreißkalender,abreißen,Kalender,
Abrissarbeit,Abriss,Arbeit,
Abrissbagger,Abriss,Bagger,19.0
Abrissbirne,Abriss,Birne,19.0
Abrissfirma,Abriss,Firma,
Abrissgenehmigung,Abriss,Genehmigung,
Abrisshaus,Abriss,Haus,19.0
Abrisskante,Abriss,Kante,
Abrisskosten,Abriss,Kosten,19.0
Abrissplan,Abriss,Plan,
Abrissunternehmen,Abriss,Unternehmen,
Abrissverfügung,Abriss,Verfügung,17.0
Abrüstungsabkommen,Abrüstung,Abkommen,
Abrüstungsdebatte,Abrüstung,Debatte,
Abrüstungsgespräch,Abrüstung,Gespräch,
Abrüstungskonferenz,Abrüstung,Konferenz,
Abrüstungspolitik,Abrüstung,Politik,
Abrüstungsverhandlung,Abrüstung,Verhandlung,
Absageschreiben,Absage,Schreiben,
Absatzchance,Absatz,Chance,
Absatzeinbruch,Absatz,Einbruch,
Absatzeinbuße,Absatz,Einbuße,
Absatzfinanzierung,Absatz,Finanzierung,
Absatzflaute,Absatz,Flaute,
Absatzforschung,Absatz,Forschung,
Absatzförderung,Absatz,Förderung,17.0
Absatzgebiet,Absatz,Gebiet,19.0
Absatzkanal,Absatz,Kanal,19.0
Absatzkrise,Absatz,Krise,
Absatzmarkt,Absatz,Markt,17.0
Absatzmenge,Absatz,Menge,
Absatzmöglichkeit,Absatz,Möglichkeit,
Absatzplanung,Absatz,Planung,
Absatzplus,Absatz,Plus,19.0
Absatzpotential,Absatz,Potential,
Absatzproblem,Absatz,Problem,
Absatzprognose,Absatz,Prognose,
Absatzrekord,Absatz,Rekord,
Absatzrenner,Absatz,Renner,
Absatzrückgang,Absatz,Rückgang,19.0
Absatzschwierigkeit,Absatz,Schwierigkeit,
Absatzsteigerung,Absatz,Steigerung,
Absatzstrategie,Absatz,Strategie,
Absatztief,Absatz,Tief,
Absatzverlust,Absatz,Verlust,
Absatzvolumen,Absatz,Volumen,19.0
Absatzweg,Absatz,Weg,
Absatzwirtschaft,Absatz,Wirtschaft,18.0
Absatzzahl,Absatz,Zahl,
Absatzüberschrift,Absatz,Überschrift,
Absauganlage,absaugen,Anlage,19.0
Abschaltautomatik,abschalten,Automatik,17.0
Abschiebegewahrsam,abschieben,Gewahrsam,
Abschiebehaft,abschieben,Haft,18.0
Abschiebehindernis,abschieben,Hindernis,
Abschiebepraxis,abschieben,Praxis,18.0
Abschiebungsandrohung,Abschiebung,Androhung,18.0
Abschiebungsanordnung,Abschiebung,Anordnung,
Abschiebungshaft,Abschiebung,Haft,17.0
Abschiebungshindernis,Abschiebung,Hindernis,19.0
Abschiebungsschutz,Abschiebung,Schutz,
Abschiedsabend,Abschied,Abend,17.0
Abschiedsbesuch,Abschied,Besuch,18.0
Abschiedsbrief,Abschied,Brief,18.0
Abschiedsessen,Abschied,Essen,17.0
Abschiedsfeier,Abschied,Feier,18.0
Abschiedsfest,Abschied,Fest,17.0
Abschiedsgeschenk,Abschied,Geschenk,19.0
Abschiedsgesuch,Abschied,Gesuch,
Abschiedsgottesdienst,Abschied,Gottesdienst,
Abschiedsgruß,Abschied,Gruß,19.0
Abschiedskonzert,Abschied,Konzert,19.0
Abschiedskuss,Abschied,Kuss,
Abschiedslied,Abschied,Lied,
Abschiedsparty,Abschied,Party,
Abschiedsrede,Abschied,Rede,19.0
Abschiedsschmerz,Abschied,Schmerz,
