compound,modifier,head,frequency_class
Hosenträger,Hose,Träger,19.0
Hospitalkirche,Hospital,Kirche,19.0
Hospitalschiff,Hospital,Schiff,
Hospizarbeit,Hospiz,Arbeit,15.0
Hospizbewegung,Hospiz,Bewegung,18.0
Hospizdienst,Hospiz,Dienst,15.0
Hospizhelfer,Hospiz,Helfer,17.0
Hospizverein,Hospiz,Verein,16.0
Hostadapter,Host,Adapter,
Hostname,Host,Name,16.0
Hostrechner,Host,Rechner,19.0
Hotelangebot,Hotel,Angebot,
Hotelangestellte,Hotel,Angestellte,
Hotelangestellter,Hotel,Angestellter,
Hotelanlage,Hotel,Anlage,18.0
Hotelaufenthalt,Hotel,Aufenthalt,19.0
Hotelbar,Hotel,Bar,17.0
Hotelbau,Hotel,Bau,
Hotelbesitzer,Hotel,Besitzer,18.0
Hotelbetreiber,Hotel,Betreiber,19.0
Hotelbetrieb,Hotel,Betrieb,18.0
Hotelbett,Hotel,Bett,19.0
Hotelbranche,Hotel,Branche,17.0
Hotelbuchung,Hotel,Buchung,16.0
Hotelchef,Hotel,Chef,
Hoteldach,Hotel,Dach,
Hoteldirektion,Hotel,Direktion,
Hoteldirektor,Hotel,Direktor,19.0
Hoteleigentümer,Hotel,Eigentümer,
Hoteleingang,Hotel,Eingang,
Hotelempfang,Hotel,Empfang,
Hoteleröffnung,Hotel,Eröffnung,
Hotelfach,Hotel,Fach,
Hotelfachfrau,Hotel,Fachfrau,17.0
Hotelfachleute,Hotel,Fachleute,18.0
Hotelfachmann,Hotel,Fachmann,19.0
Hotelfachschule,Hotel,Fachschule,19.0
Hotelfenster,Hotel,Fenster,
Hotelflur,Hotel,Flur,
Hotelfrühstück,Hotel,Frühstück,
Hotelführer,Hotel,Führer,19.0
Hotelgarage,Hotel,Garage,
Hotelgarten,Hotel,Garten,
Hotelgast,Hotel,Gast,19.0
Hotelgebäude,Hotel,Gebäude,18.0
Hotelgelände,Hotel,Gelände,
Hotelgeschäft,Hotel,Geschäft,
Hotelgewerbe,Hotel,Gewerbe,17.0
Hotelgruppe,Hotel,Gruppe,19.0
Hotelgutschein,Hotel,Gutschein,
Hotelhalle,Hotel,Halle,
Hoteliersfamilie,Hotelier,Familie,
Hotelindustrie,Hotel,Industrie,19.0
Hotelinhaber,Hotel,Inhaber,
Hotelkapazität,Hotel,Kapazität,
Hotelkategorie,Hotel,Kategorie,
Hotelkauffrau,Hotel,Kauffrau,
Hotelkaufmann,Hotel,Kaufmann,19.0
Hotelkette,Hotel,Kette,18.0
Hotelklassifizierung,Hotel,Klassifizierung,19.0
Hotelkomplex,Hotel,Komplex,
Hotelkonzern,Hotel,Konzern,
Hotelkosten,Hotel,Kosten,16.0
Hotelküche,Hotel,Küche,
Hotellandschaft,Hotel,Landschaft,19.0
Hotelleitung,Hotel,Leitung,
Hotellobby,Hotel,Lobby,19.0
Hotellounge,Hotel,Lounge,
Hotelmanagement,Hotel,Management,16.0
Hotelmanager,Hotel,Manager,19.0
Hotelname,Hotel,Name,
Hotelneubau,Hotel,Neubau,
Hotelpage,Hotel,Page,
Hotelparkplatz,Hotel,Parkplatz,
Hotelpension,Hotel,Pension,
Hotelpersonal,Hotel,Personal,19.0
Hotelpool,Hotel,Pool,19.0
Hotelportier,Hotel,Portier,
Hotelpreis,Hotel,Preis,
Hotelprojekt,Hotel,Projekt,
Hotelrechnung,Hotel,Rechnung,17.0
Hotelreservierung,Hotel,Reservierung,19.0
Hotelrestaurant,Hotel,Restaurant,19.0
Hotelrezeption,Hotel,Rezeption,
Hotelsafe,Hotel,Safe,17.0
Hotelschiff,Hotel,Schiff,19.0
Hotelservice,Hotel,Service,19.0
Hotelstandard,Hotel,Standard,
Hotelstandort,Hotel,Standort,
Hotelsuite,Hotel,Suite,
Hotelterrasse,Hotel,Terrasse,
Hoteltrakt,Hotel,Trakt,
Hotelturm,Hotel,Turm,
Hoteltür,Hotel,Tür,
Hotelunterkunft,Hotel,Unterkunft,18.0
Hotelunternehmen,Hotel,Unternehmen,19.0
Hotelverzeichnis,Hotel,Verzeichnis,
Hotelwesen,Hotel,Wesen,19.0
Hotelzimmer,Hotel,Zimmer,14.0
Hotelübernachtung,Hotel,Übernachtung,18.0
Hotspot,hot,Spot,13.0
Housemusik,House,Musik,
Hubarbeitsbühne,Hub,Arbeitsbühne,19.0
Hubbleteleskop,Hubble,Teleskop,
Hubbrücke,Hub,Brücke,18.0
Hubbühne,Hub,Bühne,
Hubdach,Hub,Dach,
Hubgerüst,Hub,Gerüst,
Hubhöhe,Hub,Höhe,19.0
Hubkolbenmotor,Hub,Kolbenmotor,
Hublift,Hub,Lift,
Hubraum,Hub,Raum,15.0
Hubraumgröße,Hubraum,Größe,
Hubraumklasse,Hubraum,Klasse,
Hubschrauberabsturz,Hubschrauber,Absturz,
Hubschrauberbesatzung,Hubschrauber,Besatzung,
Hubschraubereinsatz,Hubschrauber,Einsatz,19.0
Hubschrauberflug,Hubschrauber,Flug,
Hubschrauberhersteller,Hubschrauber,Hersteller,
Hubschrauberlandeplatz,Hubschrauber,Landeplatz,18.0
Hubschrauberpilot,Hubschrauber,Pilot,
Hubschrauberstaffel,Hubschrauber,Staffel,
Hubschrauberträger,Hubschrauber,Träger,
Hubschraubertyp,Hubschrauber,Typ,
Hubvolumen,Hub,Volumen,
Hubwagen,Hub,Wagen,19.0
Hufbeschlag,Huf,Beschlag,
Hufeisen,Huf,Eisen,17.0
Hufeisenform,Hufeisen,Form,19.0
Hufeisenklee,Hufeisen,Klee,
Hufeisenmagnet,Hufeisen,Magnet,
Hufeisennase,Hufeisen,Nase,17.0
Hufeisenwerfen,Hufeisen,Werfen,
Hufendorf,Huf,Dorf,
Huflattich,Huf,Lattich,
Hufnagel,Huf,Nagel,18.0
Hufschlag,Huf,Schlag,
Hufschmied,Huf,Schmied,18.0
Hufspur,Huf,Spur,
Huftier,Huf,Tier,
Hugenottenfamilie,Hugenotte,Familie,
Huldigungsgeschenk,Huldigung,Geschenk,
Humanbiologie,human,Biologie,17.0
Humanethologie,human,Ethologie,
Humangenetik,human,Genetik,17.0
Humangenetiker,human,Genetiker,17.0
Humangenomprojekt,human,Genomprojekt,
Humaninsulin,human,Insulin,
Humanistenkreis,Humanist,Kreis,
Humankapital,human,Kapital,17.0
Humanmedizin,human,Medizin,13.0
Humanmediziner,human,Mediziner,17.0
Humanressource,human,Ressource,
Humanvermögen,human,Vermögen,
Humanwissenschaft,human,Wissenschaft,
Humanökologie,human,Ökologie,
Humboldtstrom,Humboldt,Strom,
Huminsäure,humin,Säure,19.0
Hummelart,Hummel,Art,
Hummelflug,Hummel,Flug,
Hummelragwurz,Hummel,Ragwurz,
Hummelschwärmer,Hummel,Schwärmer,
Hummerkrabbe,Hummer,Krabbe,
Hummersalat,Hummer,Salat,
Hummersuppe,Hummer,Suppe,
Humoralpathologie,humoral,Pathologie,
Humorseite,Humor,Seite,
Humusauflage,Humus,Auflage,19.0
Humusbildung,Humus,Bildung,19.0
Humusboden,Humus,Boden,
Humuserde,Humus,Erde,19.0
Humusgehalt,Humus,Gehalt,18.0
Humusschicht,Humus,Schicht,18.0
Hundeart,Hund,Art,19.0
Hundeauge,Hund,Auge,
Hundeausbildung,Hund,Ausbildung,19.0
Hundeauslauffläche,Hund,Auslauffläche,
Hundeauslaufgebiet,Hund,Auslaufgebiet,
Hundeauslaufzone,Hund,Auslaufzone,
Hundeausstellung,Hund,Ausstellung,
Hundebaby,Hund,Baby,19.0
Hundebandwurm,Hund,Bandwurm,
Hundebellen,Hund,Bellen,
Hundebesitzer,Hund,Besitzer,15.0
Hundebiss,Hund,Biss,
Hundeblick,Hund,Blick,18.0
Hundedame,Hund,Dame,
Hundedecke,Hund,Decke,19.0
Hundediabetes,Hund,Diabetes,
Hundedreck,Hund,Dreck,
Hundeerziehung,Hund,Erziehung,18.0
Hundefleisch,Hund,Fleisch,
Hundefreund,Hund,Freund,
Hundefriedhof,Hund,Friedhof,
Hundefriseur,Hund,Friseur,19.0
Hundefutter,Hund,Futter,16.0
Hundefänger,Hund,Fänger,
Hundeführer,Hund,Führer,16.0
Hundeführerschein,Hund,Führerschein,19.0
Hundegebell,Hund,Gebell,19.0
Hundegeschichte,Hund,Geschichte,
Hundegesetz,Hund,Gesetz,19.0
Hundehaar,Hund,Haar,
Hundehalsband,Hund,Halsband,
Hundehalter,Hund,Halter,15.0
Hundehaltung,Hund,Haltung,17.0
Hundehaufen,Hund,Haufen,18.0
Hundehimmel,Hund,Himmel,
Hundehütte,Hund,Hütte,
Hundejahr,Hund,Jahr,
Hundekacke,Hund,Kacke,
Hundekampf,Hund,Kampf,
Hundeklo,Hund,Klo,
Hundeknochen,Hund,Knochen,
Hundekopf,Hund,Kopf,
Hundekot,Hund,Kot,17.0
Hundekuchen,Hund,Kuchen,
Hundeleben,Hund,Leben,
Hundeleine,Hund,Leine,19.0
Hundeliebe,Hund,Liebe,
Hundeliebhaber,Hund,Liebhaber,17.0
Hundemarke,Hund,Marke,
Hundemeute,Hund,Meute,
Hundename,Hund,Name,
Hundenapf,Hund,Napf,
Hundenase,Hund,Nase,
Hundeohr,Hund,Ohr,19.0
Hundepension,Hund,Pension,19.0
Hundeplatz,Hund,Platz,
Hundepsychologe,Hund,Psychologe,
Hunderasse,Hund,Rasse,18.0
Hunderennen,Hund,Rennen,
Hundertstelsekunde,Hundertstel,Sekunde,
Hunderttausend,hundert,Tausend,17.0
Hundesalon,Hund,Salon,
Hundeschau,Hund,Schau,
Hundescheiße,Hund,Scheiße,
Hundeschlitten,Hund,Schlitten,17.0
Hundeschlittenrennen,Hundeschlitten,Rennen,
Hundeschnauze,Hund,Schnauze,
Hundeschule,Hund,Schule,17.0
Hundeshampoo,Hund,Shampoo,
Hundesohn,Hund,Sohn,
Hundesport,Hund,Sport,18.0
Hundesportverein,Hundesport,Verein,
Hundestaffel,Hund,Staffel,
Hundesteuer,Hund,Steuer,16.0
Hundestrand,Hund,Strand,
Hundetoilette,Hund,Toilette,
Hundetrainer,Hund,Trainer,17.0
Hundeverbot,Hund,Verbot,
Hundeverein,Hund,Verein,
Hundeverordnung,Hund,Verordnung,
Hundewelpe,Hund,Welpe,
Hundewetter,Hund,Wetter,
Hundezucht,Hund,Zucht,
Hundezwinger,Hund,Zwinger,
Hundezüchter,Hund,Züchter,
Hundsfisch,Hund,Fisch,
Hundsgiftgewächs,Hundsgift,Gewächs,
Hundskamille,Hund,Kamille,
Hundsrobbe,Hund,Robbe,
Hundsrose,Hund,Rose,19.0
Hundsstraußgras,Hund,Straußgras,
Hundstage,Hund,Tage,
Hundsveilchen,Hund,Veilchen,
Hundswurz,Hund,Wurz,
Hundszahn,Hund,Zahn,
Hundszahnlilie,Hund,Zahnlilie,
Hundszunge,Hund,Zunge,
Hungerast,Hunger,Ast,
Hungergefühl,Hunger,Gefühl,18.0
Hungerhilfe,Hunger,Hilfe,19.0
Hungerjahr,Hunger,Jahr,
Hungerkatastrophe,Hunger,Katastrophe,17.0
Hungerkrise,Hunger,Krise,18.0
Hungerkur,Hunger,Kur,
Hungerkünstler,Hunger,Künstler,
Hungerlohn,Hunger,Lohn,
Hungerperiode,Hunger,Periode,
Hungerphase,Hunger,Phase,
Hungerproblem,Hunger,Problem,
Hungerrevolte,Hunger,Revolte,
Hungersnot,Hunger,Not,16.0
Hungerstreik,Hunger,Streik,16.0
Hungertod,Hunger,Tod,19.0
Hungertote,Hunger,Tote,
Hungertoter,Hunger,Toter,
Hungertuch,Hunger,Tuch,
Hungerturm,Hunger,Turm,
Hungerwinter,Hunger,Winter,
Hungerzeit,Hunger,Zeit,
Hungerzustand,Hunger,Zustand,
Hunnenkönig,Hunne,König,
Hunnenreich,Hunne,Reich,
Hupkonzert,hupen,Konzert,
Hurenhaus,Hure,Haus,
Hurenkind,Hure,Kind,
Hurensohn,Hure,Sohn,
Hurrapatriotismus,hurra,Patriotismus,
Hurrikansaison,Hurrikan,Saison,
Hurrikanstärke,Hurrikan,Stärke,
Husarenaffe,Husar,Affe,
Husarenregiment,Husar,Regiment,19.0
Husarenreiter,Husar,Reiter,
Husarenritt,Husar,Ritt,
Husarenstreich,Husar,Streich,
Hussitenkrieg,Hussit,Krieg,
Hustenanfall,Husten,Anfall,
Hustenbonbon,Husten,Bonbon,
Hustenmittel,Husten,Mittel,19.0
Hustenreiz,Husten,Reiz,16.0
Hustensaft,Husten,Saft,18.0
Hustentee,Husten,Tee,
Hutablage,Hut,Ablage,
Hutfabrik,Hut,Fabrik,
Hutform,Hut,Form,
Hutkrempe,Hut,Krempe,
Hutladen,Hut,Laden,
Hutmacher,Hut,Macher,17.0
Hutmode,Hut,Mode,
Hutmodell,Hut,Modell,
Hutoberfläche,Hut,Oberfläche,
Hutpilz,Hut,Pilz,
Hutrand,Hut,Rand,
Hutschachtel,Hut,Schachtel,
Hutschnur,Hut,Schnur,
Hutstumpen,Hut,Stumpen,
Hutstumpenmacher,Hutstumpen,Macher,
Hutträger,Hut,Träger,
Hybridantrieb,Hybrid,Antrieb,17.0
Hybridauto,Hybrid,Auto,
Hybridfahrzeug,Hybrid,Fahrzeug,18.0
Hybridform,hybrid,Form,
Hybridrebe,Hybrid,Rebe,
Hybridsorte,hybrid,Sorte,
Hydrathülle,Hydrat,Hülle,
Hydratier,Hydra,Tier,
Hydratwasser,Hydrat,Wasser,
Hydraulikanlage,Hydraulik,Anlage,19.0
Hydraulikbagger,Hydraulik,Bagger,
Hydraulikbremse,Hydraulik,Bremse,
Hydraulikeinrichtung,Hydraulik,Einrichtung,
Hydraulikflüssigkeit,Hydraulik,Flüssigkeit,
Hydraulikleitung,Hydraulik,Leitung,19.0
Hydraulikmechanik,Hydraulik,Mechanik,
Hydraulikmotor,Hydraulik,Motor,
Hydraulikpumpe,Hydraulik,Pumpe,
Hydrauliksystem,Hydraulik,System,
Hydraulikzylinder,Hydraulik,Zylinder,
Hydrauliköl,Hydraulik,Öl,19.0
Hydrierwerk,hydrieren,Werk,
Hydrobiologie,hydro,Biologie,
Hydrodynamik,hydro,Dynamik,
Hydrogenkarbonat,Hydrogen,Karbonat,
Hydrogeologie,hydro,Geologie,18.0
Hydrokultur,hydro,Kultur,17.0
Hydromechanik,hydro,Mechanik,19.0
Hydropumpe,hydro,Pumpe,
Hydrosphäre,hydro,Sphäre,
Hydrotherapie,hydro,Therapie,17.0
Hydroxid,hydro,Oxid,
Hydroxidion,Hydroxid,Ion,
Hydroxybenzol,hydroxy,Benzol,
Hydroxygruppe,hydroxy,Gruppe,
Hydroxylapatit,hydroxyl,Apatit,19.0
Hygieneanforderung,Hygiene,Anforderung,
Hygieneartikel,Hygiene,Artikel,15.0
Hygienebedingungen,Hygiene,Bedingungen,17.0
Hygienebestimmung,Hygiene,Bestimmung,
Hygienefachkraft,Hygiene,Fachkraft,19.0
Hygienegründe,Hygiene,Gründe,
Hygieneinstitut,Hygiene,Institut,
Hygienemangel,Hygiene,Mangel,19.0
Hygienemaßnahme,Hygiene,Maßnahme,17.0
Hygienepapier,Hygiene,Papier,
Hygieneproblem,Hygiene,Problem,
Hygieneprodukt,Hygiene,Produkt,
Hygieneregel,Hygiene,Regel,
Hygienestandard,Hygiene,Standard,
Hygieneverordnung,Hygiene,Verordnung,
Hygienevorschrift,Hygiene,Vorschrift,19.0
Hyperaktivität,hyper,Aktivität,16.0
Hyperbelfunktion,Hyperbel,Funktion,
Hyperfunktion,hyper,Funktion,
Hyperglykämie,hyper,Glykämie,19.0
Hyperhidrose,hyper,Hidrose,17.0
Hyperinflation,hyper,Inflation,19.0
Hyperrealismus,hyper,Realismus,
Hyperschall,hyper,Schall,
Hypertextdokument,Hypertext,Dokument,
Hypertextsystem,Hypertext,System,
Hypertonus,hyper,Tonus,19.0
Hyperurikämie,hyper,Urikämie,19.0
Hypnotherapie,hypno,Therapie,
Hypofunktion,hypo,Funktion,
Hypoglykämie,hypo,Glykämie,18.0
Hypomanie,hypo,Manie,
Hypothekarkredit,Hypothekar,Kredit,
Hypothekenbank,Hypothek,Bank,17.0
Hypothekendarlehen,Hypothek,Darlehen,16.0
Hypothekenkredit,Hypothek,Kredit,
Hypothekenpfandbrief,Hypothek,Pfandbrief,19.0
Hypothekenzins,Hypothek,Zins,
Hypothesenbildung,Hypothese,Bildung,19.0
Hypozentrum,hypo,Zentrum,
Häckselmaschine,häckseln,Maschine,19.0
Häftlingsbaracke,Häftling,Baracke,
Häftlingskleidung,Häftling,Kleidung,
Häftlingslager,Häftling,Lager,
Häftlingsnummer,Häftling,Nummer,18.0
Hähnchenbrust,Hähnchen,Brust,18.0
Hähnchenfilet,Hähnchen,Filet,
Hähnchenfleisch,Hähnchen,Fleisch,17.0
Hähnchengrill,Hähnchen,Grill,
Hähnchenkeule,Hähnchen,Keule,
Hähnchenschenkel,Hähnchen,Schenkel,17.0
Häkelarbeit,häkeln,Arbeit,
Häkelnadel,häkeln,Nadel,
Hämagglutinin,häm,Agglutinin,18.0
Hämatokritwert,Hämatokrit,Wert,
Hämoglobinwert,Hämoglobin,Wert,
Hämolymphe,hämo,Lymphe,
Händchenhalten,Händchen,Halten,18.0
Händedesinfektion,Hand,Desinfektion,15.0
Händedesinfektionsmittel,Hand,Desinfektionsmittel,17.0
Händedruck,Hand,Druck,17.0
Händeklatschen,Hand,Klatschen,
Händeschütteln,Hand,Schütteln,15.0
Händetrockner,Hand,Trockner,19.0
Händewaschen,Hand,Waschen,12.0
Händlernetz,Händler,Netz,
Händlerpreis,Händler,Preis,
Händlerring,Händler,Ring,
Hängebacke,hängen,Backe,
Hängebahn,hängen,Bahn,
Hängebauch,hängen,Bauch,
Hängebauchschwein,Hängebauch,Schwein,
Hängebirke,hängen,Birke,
Hängeboden,hängen,Boden,
Hängebrücke,hängen,Brücke,15.0
Hängebusen,hängen,Busen,
Hängedecke,hängen,Decke,
Hängegleiter,hängen,Gleiter,19.0
Hängelampe,hängen,Lampe,
Hängematte,hängen,Matte,15.0
Hängeohr,hängen,Ohr,
Hängeordner,hängen,Ordner,
Hängepartie,hängen,Partie,19.0
Hängeregal,hängen,Regal,19.0
Hängeregister,hängen,Register,19.0
Hängeregistratur,hängen,Registratur,
Hängeschrank,hängen,Schrank,19.0
Härteausgleich,Härte,Ausgleich,19.0
Härtefall,Härte,Fall,14.0
Härtefallklausel,Härtefall,Klausel,19.0
Härtefallkommission,Härtefall,Kommission,14.0
Härtefallregelung,Härtefall,Regelung,16.0
Härtefonds,Härte,Fonds,19.0
Härtegrad,Härte,Grad,12.0
Härteklausel,Härte,Klausel,
Härteprüfung,Härte,Prüfung,
Härteskala,Härte,Skala,19.0
Härtetest,Härte,Test,18.0
Hätschelkind,hätscheln,Kind,
Häufigkeitsanalyse,Häufigkeit,Analyse,
Häufigkeitsklasse,Häufigkeit,Klasse,18.0
Häufigkeitsquote,Häufigkeit,Quote,
Häufigkeitsrate,Häufigkeit,Rate,
Häufigkeitsverteilung,Häufigkeit,Verteilung,19.0
Häufigkeitszahl,Häufigkeit,Zahl,19.0
Häufungspunkt,Häufung,Punkt,
Häuptlingsfamilie,Häuptling,Familie,
Häuptlingssohn,Häuptling,Sohn,
Häuptlingstochter,Häuptling,Tochter,19.0
Häuseransammlung,Haus,Ansammlung,
Häuserblock,Haus,Block,19.0
Häuserfront,Haus,Front,
Häusergruppe,Haus,Gruppe,
Häuserkampf,Haus,Kampf,
Häuserkomplex,Haus,Komplex,
Häusermarkt,Haus,Markt,19.0
Häusermeer,Haus,Meer,
Häuserpreis,Haus,Preis,
Häuserreihe,Haus,Reihe,19.0
Häuserruine,Haus,Ruine,
Häuserschlucht,Haus,Schlucht,
Häuserviertel,Haus,Viertel,
Häuserzeile,Haus,Zeile,
Häuslebauer,Häusle,Bauer,17.0
Höchstalemannisch,höchste,Alemannisch,
Höchstalter,höchste,Alter,16.0
Höchstaltersgrenze,Höchstalter,Grenze,16.0
Höchstbeitrag,höchste,Beitrag,19.0
Höchstbelastung,höchste,Belastung,
Höchstbetrag,höchste,Betrag,14.0
Höchstdauer,höchste,Dauer,15.0
Höchstdosis,höchste,Dosis,
Höchsteinsatz,höchste,Einsatz,
Höchstertrag,höchste,Ertrag,
Höchstfall,höchste,Fall,19.0
Höchstform,höchste,Form,16.0
Höchstfrequenz,höchste,Frequenz,
Höchstfrist,höchste,Frist,
Höchstgebot,höchste,Gebot,16.0
Höchstgericht,höchste,Gericht,
Höchstgeschwindigkeit,höchste,Geschwindigkeit,14.0
Höchstgewicht,höchste,Gewicht,19.0
Höchstgewinn,höchste,Gewinn,16.0
Höchstgrenze,höchste,Grenze,13.0
Höchstleistung,höchste,Leistung,15.0
Höchstleistungsrechner,Höchstleistung,Rechner,18.0
Höchstmarke,höchste,Marke,
Höchstmaß,höchste,Maß,13.0
Höchstmenge,höchste,Menge,16.0
Höchstmengenbeschränkung,Höchstmenge,Beschränkung,
Höchstniveau,höchste,Niveau,
Höchstnote,höchste,Note,19.0
Höchstparkdauer,höchste,Parkdauer,19.0
Höchstpreis,höchste,Preis,17.0
Höchstpunktzahl,höchste,Punktzahl,16.0
Höchstquote,höchste,Quote,
Höchstsatz,höchste,Satz,16.0
Höchstschwierigkeit,höchste,Schwierigkeit,
Höchstspannung,höchste,Spannung,
Höchstspannungsleitung,Höchstspannung,Leitung,19.0
Höchstspannungsnetz,Höchstspannung,Netz,
Höchststand,höchste,Stand,14.0
Höchststeuersatz,höchste,Steuersatz,
Höchststrafe,höchste,Strafe,18.0
Höchststufe,höchste,Stufe,
Höchstsumme,höchste,Summe,17.0
Höchsttemperatur,höchste,Temperatur,
Höchsttempo,höchste,Tempo,
Höchstwert,höchste,Wert,15.0
Höchstwertung,höchste,Wertung,18.0
Höchstzahl,höchste,Zahl,15.0
Höchstzahlverfahren,Höchstzahl,Verfahren,17.0
Höckergans,Höcker,Gans,
Höckerschildkröte,Höcker,Schildkröte,
Höckerschwan,Höcker,Schwan,18.0
Höfeordnung,Hof,Ordnung,
Höfesterben,Hof,Sterben,
Höflichkeitsbesuch,Höflichkeit,Besuch,
Höflichkeitsfloskel,Höflichkeit,Floskel,
Höflichkeitsform,Höflichkeit,Form,
Höflichkeitsregel,Höflichkeit,Regel,
Höflichkeitstitel,Höflichkeit,Titel,
Höhenangabe,Höhe,Angabe,
Höhenangst,Höhe,Angst,17.0
Höhenbegrenzung,Höhe,Begrenzung,
Höhenbestimmung,Höhe,Bestimmung,
Höhenburg,Höhe,Burg,17.0
Höhendifferenz,Höhe,Differenz,18.0
Höhenenergie,Höhe,Energie,
Höhenfehler,Höhe,Fehler,
Höhenfeuerwerk,Höhe,Feuerwerk,
Höhenflug,Höhe,Flug,16.0
Höhenflugzeug,Höhe,Flugzeug,
Höhenforschungsrakete,Höhe,Forschungsrakete,
Höhengewinn,Höhe,Gewinn,
Höhenklima,Höhe,Klima,
Höhenkrankheit,Höhe,Krankheit,19.0
Höhenkurort,Höhe,Kurort,
Höhenlage,Höhe,Lage,16.0
Höhenleitwerk,Höhe,Leitwerk,
Höhenlinie,Höhe,Linie,
Höhenluft,Höhe,Luft,18.0
Höhenluftkurort,Höhenluft,Kurort,
Höhenmesser,Höhe,Messer,
Höhenmessung,Höhe,Messung,
Höhenmeter,Höhe,Meter,15.0
Höhenmodell,Höhe,Modell,19.0
Höhenniveau,Höhe,Niveau,
Höhenprofil,Höhe,Profil,16.0
Höhenrakete,Höhe,Rakete,
Höhenrekord,Höhe,Rekord,
Höhenretter,Höhe,Retter,18.0
Höhenruder,Höhe,Ruder,
Höhenrücken,Höhe,Rücken,
Höhenschnittpunkt,Höhe,Schnittpunkt,
Höhensiedlung,Höhe,Siedlung,19.0
Höhensonne,Höhe,Sonne,
Höhenstrahlung,Höhe,Strahlung,
Höhenströmung,Höhe,Strömung,19.0
Höhenstufe,Höhe,Stufe,
Höhentraining,Höhe,Training,
Höhentrainingslager,Höhe,Trainingslager,
Höhenunterschied,Höhe,Unterschied,17.0
Höhenverlust,Höhe,Verlust,
Höhenverstellung,Höhe,Verstellung,15.0
Höhenwachstum,Höhe,Wachstum,
Höhenwanderung,Höhe,Wanderung,
Höhenwanderweg,Höhe,Wanderweg,19.0
Höhenweg,Höhe,Weg,
Höhenweltrekord,Höhe,Weltrekord,
Höhenwinkel,Höhe,Winkel,
Höhenzug,Höhe,Zug,17.0
Höhepunkt,Höhe,Punkt,11.0
Höherbewertung,höher,Bewertung,18.0
Höherentwicklung,höher,Entwicklung,
Höherqualifizierung,höher,Qualifizierung,18.0
Höhlenausgang,Höhle,Ausgang,
Höhlenbau,Höhle,Bau,
Höhlenbewohner,Höhle,Bewohner,
Höhlenboden,Höhle,Boden,
Höhlenbrüter,Höhle,Brüter,18.0
Höhlenbär,Höhle,Bär,
Höhleneingang,Höhle,Eingang,
Höhlenforscher,Höhle,Forscher,19.0
Höhlenforschung,Höhle,Forschung,
Höhlenführer,Höhle,Führer,
Höhlengang,Höhle,Gang,
Höhlengleichnis,Höhle,Gleichnis,
Höhlenkirche,Höhle,Kirche,
Höhlenkloster,Höhle,Kloster,19.0
Höhlenkomplex,Höhle,Komplex,
Höhlenkunde,Höhle,Kunde,
Höhlenkäse,Höhle,Käse,
Höhlenlabyrinth,Höhle,Labyrinth,
Höhlenlöwe,Höhle,Löwe,
Höhlenmalerei,Höhle,Malerei,
Höhlenmensch,Höhle,Mensch,
Höhlensystem,Höhle,System,
Höhlentauchen,Höhle,Tauchen,
Höhlentaucher,Höhle,Taucher,
Höhlentempel,Höhle,Tempel,
Höhlenwand,Höhle,Wand,
Höhlenwelt,Höhle,Welt,
Höhlenwohnung,Höhle,Wohnung,
Höhlenzeichnung,Höhle,Zeichnung,
Höllenangst,Hölle,Angst,
Höllenbrut,Hölle,Brut,
Höllenfeuer,Hölle,Feuer,19.0
Höllenfürst,Hölle,Fürst,
Höllenhund,Hölle,Hund,
Höllenlärm,höllen,Lärm,19.0
Höllenmaschine,Hölle,Maschine,
Höllenqual,Hölle,Qual,
Höllenspaß,Hölle,Spaß,
Höllenstrafe,Hölle,Strafe,
Höllentrip,Hölle,Trip,19.0
Hörbahn,hören,Bahn,19.0
Hörbehinderung,hören,Behinderung,14.0
Hörbeispiel,hören,Beispiel,
Hörbereich,hören,Bereich,
Hörbild,hören,Bild,
Hörbuch,hören,Buch,14.0
Hörbuchpreis,Hörbuch,Preis,
Hörbuchproduktion,Hörbuch,Produktion,
Hörbuchverlag,Hörbuch,Verlag,
Höreindruck,hören,Eindruck,19.0
Hörempfehlung,hören,Empfehlung,
Hörensagen,Hören,Sagen,18.0
Hörereignis,hören,Ereignis,19.0
Hörerfahrung,hören,Erfahrung,
Hörerkreis,Hörer,Kreis,
Hörerlebnis,hören,Erlebnis,16.0
Hörertelefon,Hörer,Telefon,
Hörerwunsch,Hörer,Wunsch,
Hörerzahl,Hörer,Zahl,19.0
Hörfehler,hören,Fehler,
Hörfilm,hören,Film,19.0
Hörfolge,hören,Folge,
Hörfunk,hören,Funk,13.0
Hörfunkbeitrag,Hörfunk,Beitrag,19.0
Hörfunkdirektor,Hörfunk,Direktor,
Hörfunkmoderator,Hörfunk,Moderator,
Hörfunkprogramm,Hörfunk,Programm,17.0
Hörfunksender,Hörfunk,Sender,18.0
Hörfunksendung,Hörfunk,Sendung,19.0
Hörfunkwelle,Hörfunk,Welle,
Hörfunkwerbung,Hörfunk,Werbung,
Hörfähigkeit,hören,Fähigkeit,17.0
Hörgenuss,hören,Genuss,18.0
Hörgerät,hören,Gerät,14.0
Hörgeräteakustikbetrieb,Hörgeräteakustik,Betrieb,
Hörgeräteakustiker,Hörgerät,Akustiker,16.0
Hörgeräteakustikerhandwerk,Hörgeräteakustiker,Handwerk,
Hörgerätereparatur,Hörgerät,Reparatur,
Hörgewohnheit,hören,Gewohnheit,
